date,year,month,day,weekday,hour,demand,temperature
2003/3/1,2003,3,1,7,1,12863,23
2003/3/1,2003,3,1,7,2,12389,22
2003/3/1,2003,3,1,7,3,12155,21
2003/3/1,2003,3,1,7,4,12072,21
2003/3/1,2003,3,1,7,5,12160,22
2003/3/1,2003,3,1,7,6,12568,21
2003/3/1,2003,3,1,7,7,13236,22
2003/3/1,2003,3,1,7,8,14190,22
2003/3/1,2003,3,1,7,9,15213,24
2003/3/1,2003,3,1,7,10,15647,27
2003/3/1,2003,3,1,7,11,15653,30
2003/3/1,2003,3,1,7,12,15416,33
2003/3/1,2003,3,1,7,13,14994,35
2003/3/1,2003,3,1,7,14,14581,37
2003/3/1,2003,3,1,7,15,14335,37
2003/3/1,2003,3,1,7,16,14269,38
2003/3/1,2003,3,1,7,17,14685,37
2003/3/1,2003,3,1,7,18,15680,36
2003/3/1,2003,3,1,7,19,16386,35
2003/3/1,2003,3,1,7,20,16020,35
2003/3/1,2003,3,1,7,21,15476,34
2003/3/1,2003,3,1,7,22,14753,34
2003/3/1,2003,3,1,7,23,13757,33
2003/3/1,2003,3,1,7,24,12707,33
2003/3/2,2003,3,2,1,1,11861,32
2003/3/2,2003,3,2,1,2,11373,32
2003/3/2,2003,3,2,1,3,11085,32
2003/3/2,2003,3,2,1,4,10905,32
2003/3/2,2003,3,2,1,5,10930,32
2003/3/2,2003,3,2,1,6,11167,33
2003/3/2,2003,3,2,1,7,11604,33
2003/3/2,2003,3,2,1,8,12347,33
2003/3/2,2003,3,2,1,9,13501,34
2003/3/2,2003,3,2,1,10,14438,34
2003/3/2,2003,3,2,1,11,15055,34
2003/3/2,2003,3,2,1,12,15407,34
2003/3/2,2003,3,2,1,13,15513,35
2003/3/2,2003,3,2,1,14,15331,36
2003/3/2,2003,3,2,1,15,15192,37
2003/3/2,2003,3,2,1,16,15175,37
2003/3/2,2003,3,2,1,17,15574,36
2003/3/2,2003,3,2,1,18,16281,36
2003/3/2,2003,3,2,1,19,16842,36
2003/3/2,2003,3,2,1,20,16504,36
2003/3/2,2003,3,2,1,21,15815,36
2003/3/2,2003,3,2,1,22,14745,36
2003/3/2,2003,3,2,1,23,13444,36
2003/3/2,2003,3,2,1,24,12350,35
2003/3/3,2003,3,3,2,1,11657,35
2003/3/3,2003,3,3,2,2,11358,34
2003/3/3,2003,3,3,2,3,11315,31
2003/3/3,2003,3,3,2,4,11511,28
2003/3/3,2003,3,3,2,5,12068,23
2003/3/3,2003,3,3,2,6,13523,18
2003/3/3,2003,3,3,2,7,15850,14
2003/3/3,2003,3,3,2,8,17340,10
2003/3/3,2003,3,3,2,9,17839,8
2003/3/3,2003,3,3,2,10,18048,7
2003/3/3,2003,3,3,2,11,18192,8
2003/3/3,2003,3,3,2,12,18169,9
2003/3/3,2003,3,3,2,13,17991,11
2003/3/3,2003,3,3,2,14,17783,12
2003/3/3,2003,3,3,2,15,17489,13
2003/3/3,2003,3,3,2,16,17374,14
2003/3/3,2003,3,3,2,17,17762,14
2003/3/3,2003,3,3,2,18,18849,13
2003/3/3,2003,3,3,2,19,19997,12
2003/3/3,2003,3,3,2,20,19764,11
2003/3/3,2003,3,3,2,21,19089,10
2003/3/3,2003,3,3,2,22,17930,9
2003/3/3,2003,3,3,2,23,16416,8
2003/3/3,2003,3,3,2,24,15059,7
2003/3/4,2003,3,4,3,1,14222,6
2003/3/4,2003,3,4,3,2,13870,5
2003/3/4,2003,3,4,3,3,13748,4
2003/3/4,2003,3,4,3,4,13804,4
2003/3/4,2003,3,4,3,5,14133,4
2003/3/4,2003,3,4,3,6,15287,4
2003/3/4,2003,3,4,3,7,17309,4
2003/3/4,2003,3,4,3,8,18491,6
2003/3/4,2003,3,4,3,9,18619,8
2003/3/4,2003,3,4,3,10,18460,12
